Province,ISO,Poor 2020,Poor 2021,Difference,Rate
Aceh,AC,814.91,834.24,19.33,2.37
Sumatera Utara,SU,1283.29,1343.86,60.57,4.72
Sumatera Barat,SB,344.23,370.67,26.44,7.68
Riau,RI,483.39,500.81,17.42,3.6
Jambi,JA,277.8,293.86,16.06,5.78
Sumatera Selatan,SS,1081.58,1113.76,32.18,2.98
Bengkulu,BE,302.58,306,3.42,1.13
Lampung,LA,1049.32,1083.93,34.61,3.3
Bangka Belitung,BB,68.39,72.71,4.32,6.32
Kepulauan Riau,KR,131.97,144.46,12.49,9.46
Jakarta Raya,JK,480.86,501.92,21.06,4.38
Jawa Barat,JB,3920.23,4195.34,275.11,7.02
Jawa Tengah,JT,3980.9,4109.75,128.85,3.24
Yogyakarta,YO,475.72,506.45,30.73,6.46
Jawa Timur,JI,4419.1,4572.73,153.63,3.48
Banten,BT,775.99,867.23,91.24,11.76
Bali,BA,165.19,201.97,36.78,22.27
Nusa Tenggara Barat,NB,713.89,746.66,32.77,4.59
Nusa Tenggara Timur,NT,1153.76,1169.31,15.55,1.35
Kalimantan Barat,KB,366.77,367.89,1.12,0.31
Kalimantan Tengah,KT,132.94,140.04,7.1,5.34
Kalimantan Selatan,KS,187.87,208.11,20.24,10.77
Kalimantan Timur,KI,282.05,294.63,12.58,4.46
Sulawesi Utara,SA,192.37,196.35,3.98,2.07
Sulawesi Tengah,ST,398.73,404.44,5.71,1.43
Sulawesi Selatan,SN,776.83,784.98,8.15,1.05
Sulawesi Tenggara,SG,301.82,318.7,16.88,5.59
Gorontalo,GO,185.02,186.29,1.27,0.69
Sulawesi Barat,SR,152.02,157.19,5.17,3.4
Maluku,MA,318.18,321.81,3.63,1.14
Maluku Utara,MU,86.37,87.16,0.79,0.91
Papua Barat,PB,208.58,219.07,10.49,5.03
Papua,PA,911.37,920.44,9.07,1
